Name,Postal Code,Kind of build,Year of build
Wilgenhoek 112,2906,Bestaande bouw,1971
Eerste Stationsstraat 59 a,2712,Bestaande bouw,2019
Eest 17,6681,Bestaande bouw,1988
Marktplein 13,2861,Bestaande bouw,1970
Blaakse Wetering 36,3176,Bestaande bouw,1999
Zandvoorter Allee 138,2012,Bestaande bouw,1967
Bagijnhof 12,1671,Bestaande bouw,1910
Wilhelminalaan 3,3743,Nieuwbouw,1898
Zetveld 94,2632,Bestaande bouw,2001
Weerdestein 56,1083,Bestaande bouw,1960-1970
Molenstraat 113 B,4881,Bestaande bouw,1993
Van Ketwich Verschuurlaan 273,9721,Bestaande bouw,1964
Juweellaan 570,2719,Bestaande bouw,1994
Vaart ZZ 58 A0,7833,Nieuwbouw,2021
Vaart ZZ 58 A2,7833,Nieuwbouw,2021
Vaart ZZ 58 A1,7833,Nieuwbouw,2021
Vaart ZZ 58 B1,7833,Nieuwbouw,2021
Vaart ZZ 58 B0,7833,Nieuwbouw,2021
Vaart ZZ 58 B2,7833,Nieuwbouw,2021
Vaart ZZ 58 C0,7833,Nieuwbouw,2021
Vaart ZZ 58 C1,7833,Nieuwbouw,2021
Vaart ZZ 58 C2,7833,Nieuwbouw,2021
Vaart ZZ 58 D0,7833,Nieuwbouw,2021
Vaart ZZ 58 D1,7833,Nieuwbouw,2021
Vaart ZZ 58 E0,7833,Nieuwbouw,2021
Vaart ZZ 58 D2,7833,Nieuwbouw,2021
Vaart ZZ 58 E2,7833,Nieuwbouw,2021
Julianaplein 41,1781,Bestaande bouw,1964
Pettelaarseweg 251 b,5216,Bestaande bouw,1997
Baronielaan 22 A2.,4818,Bestaande bouw,2021
Vaart ZZ 58 E1,7833,Nieuwbouw,2021
Baronielaan 22 A11.,4818,Bestaande bouw,2021
Andromeda 45,1785,Bestaande bouw,2003
Slotstraat 28 a,3062,Bestaande bouw,1958
Jan Aartestraat 31,5017,Bestaande bouw,1997
Prof Linssenlaan 2 a7,5971,Bestaande bouw,2001-2010
Lisztgaarde 366,5344,Bestaande bouw,1991
Binnendongenstraat 18,5707,Bestaande bouw,1932
Dirklangenstraat 100,2611,Bestaande bouw,1981
Woon-/werkloft | 11 | Werkunit 11 |Type B1e (Bouwnr. 11),5615,Nieuwbouw,2021
Burgemeester Marijnenlaan 28,2585,Bestaande bouw,1999
Binnendongenstraat 20,5707,Bestaande bouw,1932
Eekhoornrade 96,2544,Bestaande bouw,1945-1959
Seringstraat 7,3551,Bestaande bouw,Voor 1906
Gruttoweide 107,6708,Bestaande bouw,1978
Huningspaed 7,8567,Bestaande bouw,2003
Kinheim 68,1161,Bestaande bouw,1980
Lupinestraat 188,6466,Bestaande bouw,1955
Ludolphusstraat 8,8701,Bestaande bouw,1964
Händelstraat 32,2992,Bestaande bouw,1992
Leeuwarderweg 41,8801,Bestaande bouw,1933
Buñuellaan 18,1325,Bestaande bouw,1995
Floris Burgwal 6,2907,Bestaande bouw,1982
Seelenstraat 22,6412,Bestaande bouw,1990
t Zuden 6,9351,Bestaande bouw,1971-1980
Linkensweg 25,5341,Bestaande bouw,1942
Van Heutszstraat 36,5018,Bestaande bouw,1931
Anne Frankstraat 33,5247,Bestaande bouw,1996
Lagelandstraat 33,5213,Bestaande bouw,1957
De Meibloem 21,2291,Bestaande bouw,1971-1980
Hugo de Grootstraat 38,1215,Bestaande bouw,1928
Schaliedekkersdreef 22,6216,Bestaande bouw,1965
Koolzaadweg 39,5351,Bestaande bouw,2008
Anton van Duinkerkenstraat 21,5146,Bestaande bouw,2013
Berenstraat 17,4651,Bestaande bouw,1950
Elmore Jamesstraat 4,4337,Bestaande bouw,2008
Klaproos 15,6418,Bestaande bouw,2013
Nimfkruidvaart 22,2724,Bestaande bouw,1979
Molenveld 18,1761,Bestaande bouw,1998
Zeelt 22,2954,Bestaande bouw,1987
Dawson-Nes 10,1862,Bestaande bouw,1967
Paradijslaan 51,4822,Bestaande bouw,1988
De Oerset 5,8934,Bestaande bouw,2006
Generaal S.H. Spoorstraat 78,3313,Bestaande bouw,1964
Tafelbergweg 22,1251,Bestaande bouw,1985
Joost van den Vondelstraat 3,7606,Bestaande bouw,1931
Silenus 84,5432,Bestaande bouw,2021
Wikkeveld 18,2742,Bestaande bouw,1978
Workumstraat 2,8244,Bestaande bouw,2000
Larixhoven 36,6225,Bestaande bouw,1979
Spoordijkstraat 38,6431,Bestaande bouw,1921
Bijsterweg 40,4471,Bestaande bouw,1920
Jaagpad 31,4871,Bestaande bouw,2002
Verdistraat 288,5343,Bestaande bouw,1970
Dageraadstraat 55,1335,Bestaande bouw,2001
Wedesteinbroek 1539,6546,Bestaande bouw,1982
Boulevard 117,4701,Bestaande bouw,1910
Bonekamp 9,9679,Bestaande bouw,2009
Deense Hoek 18,5737,Bestaande bouw,2007
Beukstraat 26,6413,Bestaande bouw,1964
Riouwstraat 57,2585,Bestaande bouw,1906-1930
Sloterweg 44,1171,Bestaande bouw,1925
Molendijk 5,3255,Bestaande bouw,Voor 1906
Louisastraat 13,4541,Bestaande bouw,1933
Groenlandstraat 18,4614,Bestaande bouw,1995
Groot Hertoginnelaan 42,1405,Bestaande bouw,1971-1980
H. Berrelkampstraat 22,9946,Bestaande bouw,2001
Voormolenstraat 63,9645,Bestaande bouw,1966
Name,Postal Code,Kind of build,Year of build
Paarl 9,5025,Bestaande bouw,2014
Irenelaan 13,6669,Bestaande bouw,1956
Haydnplantsoen 55,3752,Bestaande bouw,1973
Biesbos 3,2675,Bestaande bouw,1986
